timestamp,gpu_utilization,memory_utilization,encoder_utilization,decoder_utilization
Thu Aug  1 12:24:23 2024,0,0,0,0
Thu Aug  1 12:24:24 2024,0,0,0,0
Thu Aug  1 12:24:25 2024,0,0,0,0
Thu Aug  1 12:24:26 2024,0,0,0,0
Thu Aug  1 12:24:27 2024,0,0,0,0
Thu Aug  1 12:24:28 2024,0,0,0,0
Thu Aug  1 12:24:29 2024,0,0,0,0
Thu Aug  1 12:24:30 2024,0,0,0,0
Thu Aug  1 12:24:31 2024,0,0,0,0
Thu Aug  1 12:24:32 2024,0,0,0,0
Thu Aug  1 12:24:34 2024,0,0,0,0
Thu Aug  1 12:24:35 2024,0,0,0,0
Thu Aug  1 12:24:36 2024,0,0,0,0
Thu Aug  1 12:24:37 2024,0,0,0,0
Thu Aug  1 12:24:38 2024,0,0,0,0
Thu Aug  1 12:24:39 2024,0,0,0,0
Thu Aug  1 12:24:40 2024,0,0,0,0
Thu Aug  1 12:24:41 2024,0,0,0,0
Thu Aug  1 12:24:42 2024,0,0,0,0
Thu Aug  1 12:24:43 2024,0,0,0,0
Thu Aug  1 12:24:44 2024,0,0,0,0
Thu Aug  1 12:24:45 2024,0,0,0,0
Thu Aug  1 12:24:46 2024,0,0,0,0
Thu Aug  1 12:24:47 2024,0,0,0,0
Thu Aug  1 12:24:48 2024,0,0,0,0
Thu Aug  1 12:24:49 2024,0,0,0,0
Thu Aug  1 12:24:50 2024,0,0,0,0
Thu Aug  1 12:24:51 2024,0,0,0,0
Thu Aug  1 12:24:52 2024,0,0,0,0
Thu Aug  1 12:24:53 2024,0,0,0,0
Thu Aug  1 12:24:54 2024,0,0,0,0
Thu Aug  1 12:24:55 2024,0,0,0,0
Thu Aug  1 12:24:56 2024,0,0,0,0
Thu Aug  1 12:24:57 2024,0,0,0,0
Thu Aug  1 12:24:58 2024,0,0,0,0
Thu Aug  1 12:24:59 2024,0,0,0,0
Thu Aug  1 12:25:00 2024,0,0,0,0
Thu Aug  1 12:25:01 2024,0,0,0,0
Thu Aug  1 12:25:02 2024,0,0,0,0
Thu Aug  1 12:25:03 2024,0,0,0,0
Thu Aug  1 12:25:04 2024,0,0,0,0
Thu Aug  1 12:25:05 2024,0,0,0,0
Thu Aug  1 12:25:06 2024,0,0,0,0
Thu Aug  1 12:25:07 2024,0,0,0,0
Thu Aug  1 12:25:08 2024,0,0,0,0
Thu Aug  1 12:25:10 2024,0,0,0,0
Thu Aug  1 12:25:11 2024,0,0,0,0
Thu Aug  1 12:25:12 2024,0,0,0,0
Thu Aug  1 12:25:13 2024,0,0,0,0
Thu Aug  1 12:25:14 2024,0,0,0,0
Thu Aug  1 12:25:15 2024,0,0,0,0
Thu Aug  1 12:25:16 2024,0,0,0,0
Thu Aug  1 12:25:17 2024,0,0,0,0
Thu Aug  1 12:25:18 2024,0,0,0,0
Thu Aug  1 12:25:19 2024,0,0,0,0
Thu Aug  1 12:25:20 2024,0,0,0,0
Thu Aug  1 12:25:21 2024,0,0,0,0
Thu Aug  1 12:25:22 2024,0,0,0,0
Thu Aug  1 12:25:23 2024,0,0,0,0
Thu Aug  1 12:25:24 2024,0,0,0,0
Thu Aug  1 12:25:25 2024,0,0,0,0
Thu Aug  1 12:25:26 2024,0,0,0,0
Thu Aug  1 12:25:27 2024,0,0,0,0
Thu Aug  1 12:25:28 2024,0,0,0,0
Thu Aug  1 12:25:29 2024,0,0,0,0
Thu Aug  1 12:25:30 2024,0,0,0,0
Thu Aug  1 12:25:31 2024,0,0,0,0
Thu Aug  1 12:25:32 2024,0,0,0,0
Thu Aug  1 12:25:33 2024,0,0,0,0
Thu Aug  1 12:25:34 2024,0,0,0,0
Thu Aug  1 12:25:35 2024,0,0,0,0
Thu Aug  1 12:25:36 2024,0,0,0,0
Thu Aug  1 12:25:37 2024,0,0,0,0
